CONFERENCE;TITLE;BOOKTITLE;SERIES;VOLUME;PUBLISHER;YEAR;ID
conf/amec/2010;Agent-Mediated Electronic Commerce. Designing Trading Strategies and Mechanisms for Electronic Markets - AMEC 2010 Toronto ON Canada May 10 2010 and TADA 2010 Cambridge MA USA June 7 2010 Revised Selected Papers;AMEC/TADA;Lecture Notes in Business Information Processing;118;Springer;2012;978-3-642-34199-1
conf/amec/2011;Agent-Mediated Electronic Commerce. Designing Trading Strategies and Mechanisms for Electronic Markets - AMEC 2011 Taipei Taiwan May 2 2011 and TADA 2011 Barcelona Spain July 17 2011 Revised Selected Papers;AMEC/TADA;Lecture Notes in Business Information Processing;119;Springer;2013;978-3-642-34888-4
conf/amec/2012;Agent-Mediated Electronic Commerce. Designing Trading Strategies and Mechanisms for Electronic Markets - AMEC and TADA 2012 Valencia Spain June 4th 2012 Revised Selected Papers;AMEC/TADA;Lecture Notes in Business Information Processing;136;Springer;2013;978-3-642-40863-2
conf/amec/2016;Agent-Mediated Electronic Commerce. Designing Trading Strategies and Mechanisms for Electronic Markets - AMEC/TADA 2015 Istanbul Turkey May 4 2015 and AMEC/TADA 2016 New York NY USA July 10 2016 Revised Selected Papers;AMEC/TADA;Lecture Notes in Business Information Processing;271;Springer;2017;978-3-319-54228-7
conf/amet/1998;Agent Mediated Electronic Commerce First International Workshop on Agent Mediated Electronic Trading AMET-98 Minneapolis MN USA May 10th 1998 Selected Papers;AMET;Lecture Notes in Computer Science;1571;Springer;1999;3-540-65955-2
conf/amf/2014;Dance Notations and Robot Motion 1st Workshop of the Anthropomorphic Motion Factory at LAAS-CNRS Toulouse France 13-14 November 2014;Dance Notations and Robot Motion;Springer Tracts in Advanced Robotics;111;Springer;2016;978-3-319-25737-2
conf/amfg/2003;2003 IEEE International Workshop on Analysis and Modeling of Faces and Gestures (AMFG 2003) 17 October 2003 Nice France Proceedings;AMFG;?;?;IEEE Computer Society;2003;0-7695-2010-3
conf/amfg/2005;Analysis and Modelling of Faces and Gestures Second International Workshop AMFG 2005 Beijing China October 16 2005 Proceedings;AMFG;Lecture Notes in Computer Science;3723;Springer;2005;3-540-29229-2
conf/amfg/2007;Analysis and Modeling of Faces and Gestures Third International Workshop AMFG 2007 Rio de Janeiro Brazil October 20 2007 Proceedings;AMFG;Lecture Notes in Computer Science;4778;Springer;2007;978-3-540-75689-7
conf/ami/2007w;Constructing Ambient Intelligence - AmI 2007 Workshops Darmstadt Germany November 7-10 2007 Revised Papers;AmI Workshops;Communications in Computer and Information Science;11;Springer;2008;978-3-540-85378-7
